Player;Team;Age;Min;PTS;FG%;3P%;FT%;DREB;REB;AST;STL;BLK
Jaime Jaquez Jr.;MIA;24;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Javonte Green;CLE;31;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
Jaylon Tyson;CLE;22;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
Jericho Sims;MIL;26;4.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0
Johnny Furphy;IND;20;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jordan Goodwin;LAL;26;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Jordan Walsh;BOS;21;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Josh Minott;MIN;22;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Keshad Johnson;MIA;23;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kevon Looney;GSW;29;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
Kyle Anderson;MIA;31;4.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0
Kyle Kuzma;MIL;29;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Leonard Miller;MIN;21;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
Nikola Jovi?;MIA;21;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pelle Larsson;MIA;24;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quinten Post;GSW;25;4.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0
Ronald Holland II;DET;19;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
Sam Hauser;BOS;27;4.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;0.0;1.0
Shake Milton;LAL;28;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Taurean Prince;MIL;31;4.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;0.0;0.0
Terrence Shannon Jr.;MIN;24;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Torrey Craig;BOS;34;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
Tristan da Silva;ORL;23;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
